Time,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
21047s,37.3 °C,,,,,,,,,,,,,,,,,0.61444,0.68462,0.6775,0.59719,,,,,,,,,0.46356,0.45274,0.46229,0.46087,,,,,,,,,0.3249,0.32271,0.38214,0.39573,,,,,,,,,0.17563,0.18093,0.16267,0.16058,,,,,,,,,0.12189,0.12698,0.14814,0.14178,,,,,,,,,0.66802,0.64126,0.66513,0.69858,,,,
21370s,37.3 °C,,,,,,,,,,,,,,,,,0.63301,0.70629,0.71953,0.51137,,,,,,,,,0.40742,0.43758,0.4469,0.59516,,,,,,,,,0.27363,0.29956,0.3413,0.38218,,,,,,,,,0.14982,0.17678,0.20219,0.15286,,,,,,,,,0.12163,0.12644,0.13281,0.1235,,,,,,,,,0.68156,0.6531,0.67811,0.71521,,,,
21694s,37.3 °C,,,,,,,,,,,,,,,,,0.66958,0.58217,0.71413,0.53207,,,,,,,,,0.4928,0.4296,0.42264,0.49628,,,,,,,,,0.4575,0.36863,0.38543,0.31497,,,,,,,,,0.13517,0.13123,0.20872,0.19171,,,,,,,,,0.11992,0.12613,0.12453,0.11793,,,,,,,,,0.69767,0.66711,0.69659,0.73263,,,,
22018s,37.3 °C,,,,,,,,,,,,,,,,,0.66057,0.68327,0.75319,0.56192,,,,,,,,,0.52017,0.39004,0.50944,0.57779,,,,,,,,,0.46908,0.30656,0.4219,0.32064,,,,,,,,,0.15646,0.13399,0.17102,0.15993,,,,,,,,,0.11913,0.126,0.11846,0.12632,,,,,,,,,0.71344,0.6792,0.71149,0.7482,,,,
22342s,37.3 °C,,,,,,,,,,,,,,,,,0.68528,0.54296,0.6983,0.52798,,,,,,,,,0.45904,0.40072,0.46582,0.47294,,,,,,,,,0.26959,0.29604,0.37112,0.2975,,,,,,,,,0.14349,0.14361,0.15319,0.1699,,,,,,,,,0.11829,0.12603,0.13146,0.11458,,,,,,,,,0.72958,0.69281,0.7236,0.76593,,,,
22665s,37.3 °C,,,,,,,,,,,,,,,,,0.63421,0.67329,0.50388,0.60014,,,,,,,,,0.5932,0.43527,0.51507,0.55373,,,,,,,,,0.3494,0.39559,0.36528,0.3016,,,,,,,,,0.13149,0.13038,0.14496,0.16518,,,,,,,,,0.11779,0.12584,0.1297,0.11897,,,,,,,,,0.74413,0.71129,0.74168,0.78231,,,,
22989s,37.2 °C,,,,,,,,,,,,,,,,,0.49372,0.57894,0.42438,0.5269,,,,,,,,,0.54771,0.4223,0.47257,0.4228,,,,,,,,,0.37047,0.26687,0.33182,0.28243,,,,,,,,,0.13281,0.16957,0.18443,0.16329,,,,,,,,,0.11831,0.12596,0.12426,0.12488,,,,,,,,,0.75556,0.72277,0.75521,0.79761,,,,
23313s,37.3 °C,,,,,,,,,,,,,,,,,0.56662,0.48257,0.47914,0.53983,,,,,,,,,0.4971,0.45127,0.41927,0.42144,,,,,,,,,0.456,0.3262,0.31874,0.30497,,,,,,,,,0.14204,0.14908,0.1885,0.13517,,,,,,,,,0.11782,0.12572,0.1292,0.11717,,,,,,,,,0.7688,0.73926,0.77106,0.81054,,,,
23636s,37.3 °C,,,,,,,,,,,,,,,,,0.45853,0.66952,0.49897,0.58221,,,,,,,,,0.41091,0.38951,0.51184,0.38393,,,,,,,,,0.28739,0.34384,0.48112,0.26586,,,,,,,,,0.13347,0.13109,0.14727,0.13251,,,,,,,,,0.11727,0.12601,0.12782,0.12636,,,,,,,,,0.78007,0.75291,0.78448,0.8234,,,,
23960s,37.3 °C,,,,,,,,,,,,,,,,,0.42591,0.58321,0.45446,0.50737,,,,,,,,,0.38936,0.39873,0.58129,0.44283,,,,,,,,,0.384,0.35842,0.41332,0.28501,,,,,,,,,0.14068,0.15852,0.14378,0.1363,,,,,,,,,0.11724,0.12603,0.12429,0.12551,,,,,,,,,0.79493,0.76513,0.7976,0.83773,,,,
24284s,37.2 °C,,,,,,,,,,,,,,,,,0.51507,0.45636,0.49523,0.5669,,,,,,,,,0.47656,0.32778,0.52701,0.47771,,,,,,,,,0.47291,0.30513,0.38401,0.31564,,,,,,,,,0.13734,0.13158,0.15058,0.13333,,,,,,,,,0.11743,0.12622,0.11902,0.12356,,,,,,,,,0.80984,0.7771,0.81159,0.85203,,,,
24608s,37.3 °C,,,,,,,,,,,,,,,,,0.55194,0.59352,0.53424,0.52497,,,,,,,,,0.35159,0.37529,0.51077,0.41728,,,,,,,,,0.27908,0.33318,0.3599,0.29107,,,,,,,,,0.13559,0.15349,0.14191,0.14567,,,,,,,,,0.1175,0.12637,0.12501,0.11604,,,,,,,,,0.82222,0.7858,0.82382,0.86378,,,,
24931s,37.2 °C,,,,,,,,,,,,,,,,,0.56513,0.58717,0.45812,0.56989,,,,,,,,,0.41208,0.35923,0.43347,0.45847,,,,,,,,,0.27106,0.32701,0.38497,0.24481,,,,,,,,,0.13561,0.14106,0.14141,0.13344,,,,,,,,,0.11773,0.1265,0.12058,0.11659,,,,,,,,,0.83396,0.79684,0.83788,0.87771,,,,
25255s,37.3 °C,,,,,,,,,,,,,,,,,0.55551,0.5893,0.54014,0.665,,,,,,,,,0.4386,0.45171,0.40996,0.39282,,,,,,,,,0.34453,0.34598,0.34247,0.25331,,,,,,,,,0.13477,0.13894,0.14384,0.14442,,,,,,,,,0.11787,0.12677,0.12298,0.12217,,,,,,,,,0.84562,0.80501,0.84798,0.88999,,,,
25579s,37.2 °C,,,,,,,,,,,,,,,,,0.47977,0.42577,0.48428,0.62281,,,,,,,,,0.40954,0.32978,0.37401,0.47702,,,,,,,,,0.45531,0.31303,0.42506,0.26457,,,,,,,,,0.13546,0.13447,0.15314,0.14167,,,,,,,,,0.11814,0.1271,0.12134,0.11937,,,,,,,,,0.85494,0.81619,0.86022,0.90443,,,,
25903s,37.2 °C,,,,,,,,,,,,,,,,,0.46821,0.58602,0.42219,0.48136,,,,,,,,,0.49643,0.31818,0.36518,0.43947,,,,,,,,,0.40174,0.31253,0.3265,0.24533,,,,,,,,,0.13579,0.14868,0.14196,0.13684,,,,,,,,,0.11838,0.1272,0.12177,0.12034,,,,,,,,,0.87153,0.82638,0.87061,0.91613,,,,
26227s,37.3 °C,,,,,,,,,,,,,,,,,0.60433,0.4595,0.46814,0.54453,,,,,,,,,0.33781,0.46683,0.45876,0.34253,,,,,,,,,0.45936,0.32489,0.41408,0.26323,,,,,,,,,0.13654,0.13641,0.14386,0.13761,,,,,,,,,0.11904,0.12788,0.12423,0.11994,,,,,,,,,0.88732,0.83792,0.88538,0.92896,,,,
26551s,37.3 °C,,,,,,,,,,,,,,,,,0.69331,0.43792,0.4025,0.53668,,,,,,,,,0.43613,0.4197,0.41004,0.42318,,,,,,,,,0.48176,0.271,0.31037,0.25172,,,,,,,,,0.13713,0.14403,0.14511,0.13767,,,,,,,,,0.11929,0.12801,0.12259,0.11827,,,,,,,,,0.89696,0.85081,0.89917,0.94236,,,,
26874s,37.2 °C,,,,,,,,,,,,,,,,,0.56767,0.39337,0.37616,0.54307,,,,,,,,,0.34469,0.36239,0.38447,0.37278,,,,,,,,,0.26083,0.2969,0.46113,0.26969,,,,,,,,,0.13799,0.14546,0.14307,0.14157,,,,,,,,,0.11957,0.12856,0.12501,0.12697,,,,,,,,,0.90918,0.86828,0.91491,0.95509,,,,
27198s,37.4 °C,,,,,,,,,,,,,,,,,0.56151,0.42496,0.43189,0.49214,,,,,,,,,0.50234,0.36142,0.40716,0.39043,,,,,,,,,0.43753,0.32422,0.36029,0.25309,,,,,,,,,0.13878,0.13927,0.14513,0.13938,,,,,,,,,0.11987,0.12854,0.12401,0.11934,,,,,,,,,0.9239,0.88068,0.92812,0.96822,,,,
27522s,37.4 °C,,,,,,,,,,,,,,,,,0.41016,0.53769,0.43661,0.43649,,,,,,,,,0.35676,0.34264,0.40034,0.40588,,,,,,,,,0.32751,0.35167,0.33641,0.25937,,,,,,,,,0.13969,0.15038,0.14197,0.14038,,,,,,,,,0.12023,0.1291,0.12631,0.1247,,,,,,,,,0.9351,0.89284,0.94283,0.98209,,,,
27845s,37.3 °C,,,,,,,,,,,,,,,,,0.45264,0.55108,0.41393,0.4296,,,,,,,,,0.40851,0.37884,0.4533,0.3922,,,,,,,,,0.41942,0.30872,0.32664,0.24762,,,,,,,,,0.14057,0.14172,0.14461,0.14172,,,,,,,,,0.12066,0.12946,0.12433,0.12714,,,,,,,,,0.94959,0.90789,0.95727,0.99633,,,,
28169s,37.4 °C,,,,,,,,,,,,,,,,,0.50318,0.43546,0.49417,0.44589,,,,,,,,,0.45981,0.31849,0.40473,0.39854,,,,,,,,,0.32817,0.34043,0.36189,0.26674,,,,,,,,,0.14178,0.14603,0.15061,0.14264,,,,,,,,,0.12113,0.1299,0.1257,0.12402,,,,,,,,,0.9643,0.92267,0.97299,1.013,,,,
28493s,37.2 °C,,,,,,,,,,,,,,,,,0.54226,0.46738,0.53591,0.40812,,,,,,,,,0.33857,0.4571,0.40773,0.37884,,,,,,,,,0.40041,0.30627,0.33934,0.25673,,,,,,,,,0.14282,0.14979,0.14909,0.14417,,,,,,,,,0.12152,0.13044,0.12649,0.1249,,,,,,,,,0.97931,0.93801,0.9872,1.0303,,,,
28817s,37.2 °C,,,,,,,,,,,,,,,,,0.54031,0.38532,0.38962,0.40823,,,,,,,,,0.38192,0.43629,0.42643,0.34784,,,,,,,,,0.36641,0.32458,0.34716,0.25354,,,,,,,,,0.14401,0.14543,0.14786,0.14491,,,,,,,,,0.12221,0.13113,0.12598,0.12574,,,,,,,,,0.99964,0.95973,1.0056,1.0495,,,,
29140s,37.3 °C,,,,,,,,,,,,,,,,,0.53686,0.5627,0.44562,0.40034,,,,,,,,,0.4017,0.38736,0.40272,0.36376,,,,,,,,,0.33047,0.33537,0.347,0.2655,,,,,,,,,0.14523,0.14764,0.14884,0.14611,,,,,,,,,0.12266,0.13156,0.12686,0.12233,,,,,,,,,1.0144,0.97272,1.0216,1.0672,,,,
29464s,37.3 °C,,,,,,,,,,,,,,,,,0.53971,0.55727,0.50182,0.3467,,,,,,,,,0.42353,0.35542,0.49894,0.37324,,,,,,,,,0.36677,0.383,0.39412,0.29104,,,,,,,,,0.14656,0.15276,0.15126,0.14734,,,,,,,,,0.12341,0.13233,0.12733,0.1247,,,,,,,,,1.0307,0.9934,1.0392,1.0847,,,,
29788s,37.3 °C,,,,,,,,,,,,,,,,,0.55738,0.40037,0.54476,0.39849,,,,,,,,,0.46064,0.44021,0.40781,0.35679,,,,,,,,,0.4076,0.31013,0.34874,0.29401,,,,,,,,,0.14776,0.14971,0.15212,0.1485,,,,,,,,,0.12399,0.13256,0.1288,0.12451,,,,,,,,,1.0468,1.0149,1.0605,1.1027,,,,
30112s,37.3 °C,,,,,,,,,,,,,,,,,0.6055,0.46138,0.38663,0.42126,,,,,,,,,0.3502,0.3955,0.41361,0.43449,,,,,,,,,0.30097,0.34211,0.31542,0.28797,,,,,,,,,0.14921,0.15274,0.15564,0.15002,,,,,,,,,0.12469,0.13324,0.12888,0.12549,,,,,,,,,1.069,1.0352,1.0898,1.1248,,,,
30435s,37.3 °C,,,,,,,,,,,,,,,,,0.4681,0.46822,0.4481,0.4312,,,,,,,,,0.48634,0.38093,0.4019,0.38816,,,,,,,,,0.33661,0.31309,0.39781,0.28107,,,,,,,,,0.15064,0.15607,0.15704,0.15128,,,,,,,,,0.12533,0.13392,0.12943,0.1253,,,,,,,,,1.0914,1.063,1.1251,1.1542,,,,
30759s,37.3 °C,,,,,,,,,,,,,,,,,0.48358,0.4186,0.50536,0.3982,,,,,,,,,0.39902,0.42109,0.43787,0.3773,,,,,,,,,0.34903,0.34741,0.31957,0.27972,,,,,,,,,0.15222,0.15816,0.15794,0.15282,,,,,,,,,0.12606,0.13461,0.13038,0.12559,,,,,,,,,1.1239,1.0966,1.162,1.1851,,,,
31083s,37.3 °C,,,,,,,,,,,,,,,,,0.70109,0.38828,0.63402,0.37877,,,,,,,,,0.42099,0.43131,0.42737,0.44028,,,,,,,,,0.41404,0.33193,0.34274,0.30389,,,,,,,,,0.1537,0.15686,0.16142,0.15423,,,,,,,,,0.12686,0.13547,0.13112,0.12639,,,,,,,,,1.1503,1.1368,1.19,1.2117,,,,
31406s,37.4 °C,,,,,,,,,,,,,,,,,0.61561,0.52641,0.56998,0.41981,,,,,,,,,0.46993,0.4539,0.36004,0.38676,,,,,,,,,0.32013,0.31811,0.33264,0.29729,,,,,,,,,0.15516,0.15858,0.16104,0.1558,,,,,,,,,0.12768,0.13559,0.13213,0.12774,,,,,,,,,1.1786,1.1702,1.2071,1.232,,,,
31730s,37.3 °C,,,,,,,,,,,,,,,,,0.59506,0.50026,0.56371,0.38129,,,,,,,,,0.34737,0.38052,0.40322,0.38236,,,,,,,,,0.40138,0.36581,0.39753,0.31372,,,,,,,,,0.15691,0.16023,0.1658,0.15744,,,,,,,,,0.12858,0.13656,0.13317,0.12851,,,,,,,,,1.2001,1.1994,1.2282,1.25,,,,
32054s,37.3 °C,,,,,,,,,,,,,,,,,0.5637,0.42989,0.5821,0.38416,,,,,,,,,0.41928,0.40646,0.46591,0.37,,,,,,,,,0.36151,0.32184,0.35216,0.29971,,,,,,,,,0.15877,0.16337,0.16901,0.15921,,,,,,,,,0.12947,0.13727,0.13428,0.12921,,,,,,,,,1.2195,1.216,1.2447,1.2697,,,,
32378s,37.3 °C,,,,,,,,,,,,,,,,,0.48393,0.41071,0.61087,0.38629,,,,,,,,,0.38461,0.41734,0.42681,0.41324,,,,,,,,,0.32491,0.34102,0.36834,0.30921,,,,,,,,,0.16048,0.16498,0.16814,0.1611,,,,,,,,,0.13028,0.13782,0.13492,0.1309,,,,,,,,,1.2355,1.2375,1.2666,1.2884,,,,
32701s,37.4 °C,,,,,,,,,,,,,,,,,0.53643,0.39964,0.47578,0.38644,,,,,,,,,0.39481,0.41127,0.46094,0.41462,,,,,,,,,0.34066,0.33231,0.34906,0.31771,,,,,,,,,0.1625,0.16592,0.1704,0.16307,,,,,,,,,0.13156,0.13963,0.13642,0.13091,,,,,,,,,1.2496,1.2559,1.2848,1.3029,,,,
33025s,37.3 °C,,,,,,,,,,,,,,,,,0.56413,0.52476,0.45936,0.39967,,,,,,,,,0.40669,0.40914,0.39464,0.4186,,,,,,,,,0.41619,0.33152,0.40017,0.32023,,,,,,,,,0.16448,0.16809,0.17284,0.16488,,,,,,,,,0.1327,0.14041,0.13733,0.13147,,,,,,,,,1.2634,1.277,1.3001,1.3197,,,,
33349s,37.3 °C,,,,,,,,,,,,,,,,,0.60838,0.53037,0.42858,0.46601,,,,,,,,,0.39099,0.43861,0.45319,0.38216,,,,,,,,,0.38536,0.36472,0.34992,0.32291,,,,,,,,,0.16659,0.1723,0.17513,0.16724,,,,,,,,,0.13387,0.14126,0.13884,0.13243,,,,,,,,,1.2812,1.2937,1.315,1.331,,,,
33673s,37.3 °C,,,,,,,,,,,,,,,,,0.47956,0.46679,0.42583,0.39426,,,,,,,,,0.39752,0.39199,0.40458,0.43743,,,,,,,,,0.35743,0.3407,0.34866,0.33127,,,,,,,,,0.16883,0.17521,0.17792,0.16928,,,,,,,,,0.1351,0.1421,0.14009,0.13332,,,,,,,,,1.297,1.3143,1.3251,1.3423,,,,
33996s,37.3 °C,,,,,,,,,,,,,,,,,0.60388,0.50256,0.43673,0.4278,,,,,,,,,0.44598,0.43144,0.39442,0.40797,,,,,,,,,0.40027,0.36234,0.36167,0.33656,,,,,,,,,0.1712,0.17618,0.18044,0.17168,,,,,,,,,0.13658,0.1431,0.14152,0.13448,,,,,,,,,1.3052,1.3276,1.3436,1.3532,,,,
34320s,37.3 °C,,,,,,,,,,,,,,,,,0.49847,0.55531,0.59611,0.42504,,,,,,,,,0.41167,0.41124,0.43177,0.41172,,,,,,,,,0.36124,0.35586,0.37898,0.33562,,,,,,,,,0.17381,0.17891,0.18337,0.1743,,,,,,,,,0.13802,0.1445,0.14299,0.13509,,,,,,,,,1.3188,1.3427,1.3482,1.3608,,,,
34644s,37.3 °C,,,,,,,,,,,,,,,,,0.50014,0.4188,0.43253,0.41553,,,,,,,,,0.43389,0.41523,0.44407,0.43811,,,,,,,,,0.36349,0.38167,0.39733,0.33969,,,,,,,,,0.17624,0.18122,0.18628,0.1768,,,,,,,,,0.1395,0.14587,0.14459,0.13619,,,,,,,,,1.328,1.3534,1.3564,1.3688,,,,
34967s,37.3 °C,,,,,,,,,,,,,,,,,0.51114,0.44649,0.53241,0.45131,,,,,,,,,0.46848,0.38517,0.4092,0.41322,,,,,,,,,0.36771,0.36058,0.42953,0.34343,,,,,,,,,0.17834,0.1835,0.18891,0.17904,,,,,,,,,0.1411,0.1471,0.1462,0.13761,,,,,,,,,1.3318,1.3645,1.365,1.373,,,,
35291s,37.3 °C,,,,,,,,,,,,,,,,,0.53208,0.52863,0.50034,0.4453,,,,,,,,,0.39634,0.45436,0.4371,0.42731,,,,,,,,,0.39606,0.36722,0.39677,0.34664,,,,,,,,,0.18122,0.18666,0.19157,0.18176,,,,,,,,,0.14327,0.1485,0.14801,0.13897,,,,,,,,,1.338,1.3746,1.3731,1.388,,,,
35615s,37.3 °C,,,,,,,,,,,,,,,,,0.50719,0.45911,0.52714,0.47821,,,,,,,,,0.4124,0.41177,0.42601,0.42851,,,,,,,,,0.37529,0.37629,0.37658,0.35347,,,,,,,,,0.18367,0.1891,0.19412,0.18406,,,,,,,,,0.14529,0.15032,0.15,0.14019,,,,,,,,,1.3514,1.3838,1.3794,1.3917,,,,
35939s,37.3 °C,,,,,,,,,,,,,,,,,0.61386,0.5407,0.61868,0.43939,,,,,,,,,0.42489,0.45587,0.41799,0.42278,,,,,,,,,0.47884,0.37899,0.4295,0.35908,,,,,,,,,0.18651,0.19243,0.19702,0.18723,,,,,,,,,0.14701,0.1523,0.15192,0.14169,,,,,,,,,1.3602,1.3885,1.389,1.4004,,,,
36262s,37.3 °C,,,,,,,,,,,,,,,,,0.55319,0.55036,0.53369,0.43676,,,,,,,,,0.42728,0.43747,0.46878,0.41653,,,,,,,,,0.42752,0.38083,0.39038,0.35411,,,,,,,,,0.1896,0.1953,0.20062,0.19021,,,,,,,,,0.14941,0.154,0.15409,0.14344,,,,,,,,,1.3627,1.3994,1.396,1.4043,,,,
36586s,37.3 °C,,,,,,,,,,,,,,,,,0.59373,0.46917,0.55047,0.44,,,,,,,,,0.42669,0.45711,0.51111,0.43341,,,,,,,,,0.39543,0.38431,0.40209,0.36624,,,,,,,,,0.19256,0.19853,0.20393,0.19358,,,,,,,,,0.15217,0.1561,0.15672,0.14523,,,,,,,,,1.3703,1.4075,1.4036,1.4126,,,,
36910s,37.3 °C,,,,,,,,,,,,,,,,,0.53572,0.46594,0.56914,0.44813,,,,,,,,,0.49406,0.43641,0.46207,0.45219,,,,,,,,,0.40749,0.38752,0.40984,0.38119,,,,,,,,,0.19564,0.20181,0.20729,0.19636,,,,,,,,,0.15502,0.1591,0.15884,0.147,,,,,,,,,1.3784,1.4188,1.4131,1.4222,,,,
37233s,37.2 °C,,,,,,,,,,,,,,,,,0.54022,0.49649,0.56767,0.45268,,,,,,,,,0.43896,0.42476,0.47243,0.46128,,,,,,,,,0.48406,0.39192,0.42368,0.38878,,,,,,,,,0.19904,0.20513,0.21087,0.19977,,,,,,,,,0.15721,0.16104,0.16149,0.14864,,,,,,,,,1.3789,1.4246,1.4213,1.4282,,,,
37557s,37.3 °C,,,,,,,,,,,,,,,,,0.55994,0.51892,0.58421,0.45169,,,,,,,,,0.45688,0.43283,0.43387,0.45472,,,,,,,,,0.43871,0.39751,0.41399,0.38448,,,,,,,,,0.20189,0.20901,0.21462,0.2029,,,,,,,,,0.16066,0.16364,0.16447,0.15054,,,,,,,,,1.3783,1.4293,1.4249,1.4244,,,,
37881s,37.3 °C,,,,,,,,,,,,,,,,,0.60688,0.54836,0.59629,0.4622,,,,,,,,,0.455,0.44073,0.43787,0.44898,,,,,,,,,0.40787,0.39912,0.42754,0.38939,,,,,,,,,0.20553,0.21289,0.21873,0.20669,,,,,,,,,0.16412,0.16617,0.16764,0.15312,,,,,,,,,1.3832,1.4378,1.4324,1.4323,,,,
38205s,37.3 °C,,,,,,,,,,,,,,,,,0.49186,0.58839,0.61544,0.46728,,,,,,,,,0.47236,0.46619,0.43901,0.43827,,,,,,,,,0.43021,0.40441,0.41599,0.39838,,,,,,,,,0.20922,0.21708,0.22281,0.21013,,,,,,,,,0.16767,0.1704,0.17124,0.15544,,,,,,,,,1.3902,1.4432,1.4368,1.4476,,,,
38528s,37.3 °C,,,,,,,,,,,,,,,,,0.51828,0.57119,0.64009,0.4752,,,,,,,,,0.48489,0.43394,0.46218,0.44367,,,,,,,,,0.4284,0.41123,0.42636,0.40293,,,,,,,,,0.21351,0.22159,0.22673,0.21453,,,,,,,,,0.17148,0.17318,0.17451,0.15784,,,,,,,,,1.3951,1.4507,1.4409,1.447,,,,
38852s,37.3 °C,,,,,,,,,,,,,,,,,0.49393,0.53331,0.60988,0.48437,,,,,,,,,0.48467,0.43808,0.46224,0.43853,,,,,,,,,0.48069,0.41063,0.43729,0.40957,,,,,,,,,0.21807,0.22604,0.23068,0.21927,,,,,,,,,0.17566,0.1768,0.17873,0.16042,,,,,,,,,1.4043,1.4556,1.441,1.4542,,,,
39176s,37.3 °C,,,,,,,,,,,,,,,,,0.5976,0.50842,0.61458,0.48952,,,,,,,,,0.46089,0.445,0.4552,0.44794,,,,,,,,,0.43196,0.41607,0.42868,0.41586,,,,,,,,,0.2226,0.23073,0.23517,0.22361,,,,,,,,,0.18034,0.18073,0.1827,0.16389,,,,,,,,,1.4084,1.4565,1.4405,1.4599,,,,
39500s,37.3 °C,,,,,,,,,,,,,,,,,0.50412,0.47412,0.63484,0.49742,,,,,,,,,0.44816,0.45727,0.45117,0.45412,,,,,,,,,0.43529,0.41892,0.43379,0.41521,,,,,,,,,0.22729,0.23553,0.23948,0.22883,,,,,,,,,0.18421,0.18476,0.18654,0.16638,,,,,,,,,1.4139,1.4569,1.4487,1.4594,,,,
39823s,37.3 °C,,,,,,,,,,,,,,,,,0.54099,0.50287,0.63449,0.49239,,,,,,,,,0.46343,0.44989,0.46164,0.45546,,,,,,,,,0.42909,0.42097,0.43773,0.41336,,,,,,,,,0.23266,0.24062,0.24417,0.23393,,,,,,,,,0.18854,0.18972,0.19138,0.17014,,,,,,,,,1.4195,1.4638,1.4563,1.472,,,,
40147s,37.3 °C,,,,,,,,,,,,,,,,,0.51894,0.50318,0.66734,0.4897,,,,,,,,,0.48138,0.46433,0.4594,0.46673,,,,,,,,,0.45023,0.4231,0.44529,0.41704,,,,,,,,,0.23776,0.24587,0.24922,0.23938,,,,,,,,,0.19352,0.19421,0.19603,0.17429,,,,,,,,,1.4257,1.466,1.4539,1.4762,,,,
40471s,37.3 °C,,,,,,,,,,,,,,,,,0.55503,0.5179,0.67668,0.51118,,,,,,,,,0.48578,0.47346,0.45873,0.45986,,,,,,,,,0.43156,0.4287,0.44542,0.41637,,,,,,,,,0.24289,0.25123,0.2543,0.24518,,,,,,,,,0.19668,0.19828,0.19993,0.17851,,,,,,,,,1.4313,1.4663,1.4538,1.4418,,,,
40795s,37.4 °C,,,,,,,,,,,,,,,,,0.68523,0.53812,0.67001,0.52288,,,,,,,,,0.47621,0.49017,0.47023,0.4588,,,,,,,,,0.44324,0.43147,0.44773,0.42956,,,,,,,,,0.24803,0.25651,0.25954,0.25034,,,,,,,,,0.20027,0.20336,0.20288,0.18263,,,,,,,,,1.4106,1.4747,1.4688,1.4501,,,,
41118s,37.4 °C,,,,,,,,,,,,,,,,,0.55192,0.51867,0.65348,0.5251,,,,,,,,,0.46153,0.48782,0.48872,0.47907,,,,,,,,,0.43408,0.43394,0.45076,0.43499,,,,,,,,,0.25339,0.26186,0.26452,0.25546,,,,,,,,,0.20464,0.20752,0.20619,0.18599,,,,,,,,,1.4166,1.4776,1.4758,1.4573,,,,
41442s,37.3 °C,,,,,,,,,,,,,,,,,0.49462,0.52147,0.63979,0.53073,,,,,,,,,0.4734,0.4803,0.47693,0.46838,,,,,,,,,0.45297,0.43653,0.45441,0.43476,,,,,,,,,0.25859,0.26756,0.27032,0.26031,,,,,,,,,0.20952,0.21201,0.20996,0.19032,,,,,,,,,1.4286,1.4755,1.481,1.4627,,,,
41766s,37.3 °C,,,,,,,,,,,,,,,,,0.53378,0.57717,0.60356,0.52017,,,,,,,,,0.46962,0.48422,0.48814,0.47121,,,,,,,,,0.45363,0.44056,0.45723,0.44412,,,,,,,,,0.26258,0.27298,0.27548,0.26551,,,,,,,,,0.2139,0.21651,0.214,0.19393,,,,,,,,,1.4302,1.4805,1.485,1.4583,,,,
42090s,37.3 °C,,,,,,,,,,,,,,,,,0.55659,0.5245,0.65816,0.51284,,,,,,,,,0.48836,0.48274,0.4797,0.48146,,,,,,,,,0.47193,0.44244,0.45963,0.44138,,,,,,,,,0.26736,0.27966,0.28047,0.26994,,,,,,,,,0.21777,0.22156,0.21823,0.19671,,,,,,,,,1.4358,1.4842,1.4836,1.4626,,,,
42414s,37.3 °C,,,,,,,,,,,,,,,,,0.60347,0.52288,0.69574,0.52489,,,,,,,,,0.47561,0.4892,0.4909,0.48206,,,,,,,,,0.46224,0.44541,0.46518,0.44384,,,,,,,,,0.27223,0.28527,0.28608,0.27472,,,,,,,,,0.22246,0.22593,0.22341,0.19983,,,,,,,,,1.435,1.4879,1.4863,1.462,,,,
42739s,37.3 °C,,,,,,,,,,,,,,,,,0.55478,0.52132,0.62904,0.52838,,,,,,,,,0.49023,0.4907,0.50311,0.48907,,,,,,,,,0.46342,0.44936,0.4682,0.44974,,,,,,,,,0.27691,0.29103,0.29104,0.2794,,,,,,,,,0.2279,0.23063,0.22779,0.20341,,,,,,,,,1.4387,1.5011,1.4842,1.4679,,,,
43063s,37.3 °C,,,,,,,,,,,,,,,,,0.54758,0.54723,0.5959,0.52283,,,,,,,,,0.48946,0.49426,0.49418,0.48657,,,,,,,,,0.46671,0.45274,0.47248,0.44871,,,,,,,,,0.28187,0.29664,0.29784,0.28446,,,,,,,,,0.23166,0.23411,0.23224,0.20751,,,,,,,,,1.4419,1.5028,1.4914,1.4713,,,,
43387s,37.4 °C,,,,,,,,,,,,,,,,,0.60434,0.50084,0.63072,0.5531,,,,,,,,,0.48349,0.50007,0.50366,0.49201,,,,,,,,,0.4694,0.45987,0.47813,0.45142,,,,,,,,,0.28698,0.30258,0.30417,0.28914,,,,,,,,,0.23576,0.23868,0.23667,0.21116,,,,,,,,,1.4423,1.5045,1.4923,1.4691,,,,
43710s,37.4 °C,,,,,,,,,,,,,,,,,0.58884,0.53131,0.63226,0.53673,,,,,,,,,0.49232,0.50351,0.50747,0.49692,,,,,,,,,0.47616,0.46218,0.48069,0.45608,,,,,,,,,0.29258,0.30906,0.31123,0.29439,,,,,,,,,0.23974,0.24357,0.24154,0.21538,,,,,,,,,1.4459,1.4972,1.4933,1.4726,,,,
44034s,37.3 °C,,,,,,,,,,,,,,,,,0.63133,0.58184,0.65074,0.55128,,,,,,,,,0.50436,0.5045,0.51183,0.50086,,,,,,,,,0.47539,0.46571,0.48436,0.45887,,,,,,,,,0.29814,0.31559,0.31857,0.30046,,,,,,,,,0.2438,0.24746,0.24578,0.21999,,,,,,,,,1.4434,1.5017,1.4956,1.4766,,,,
