Time,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
4860s,37.2 °C,,,,,,,,,,,,,,,,,0.32616,0.31721,0.32298,0.3182,,,,,,,,,0.22503,0.20741,0.2154,0.21749,,,,,,,,,0.151,0.14024,0.14241,0.14758,,,,,,,,,0.10996,0.11062,0.10946,0.11093,,,,,,,,,0.10166,0.11071,0.10154,0.10191,,,,,,,,,0.10272,0.10318,0.10231,0.10242,,,,
5184s,37.2 °C,,,,,,,,,,,,,,,,,0.34216,0.33642,0.34143,0.33672,,,,,,,,,0.24302,0.22652,0.23348,0.23589,,,,,,,,,0.16087,0.14748,0.15091,0.15653,,,,,,,,,0.11217,0.11282,0.11177,0.11322,,,,,,,,,0.10283,0.11203,0.10281,0.10324,,,,,,,,,0.10434,0.10488,0.10393,0.104,,,,
5507s,37.2 °C,,,,,,,,,,,,,,,,,0.36071,0.35223,0.35892,0.35563,,,,,,,,,0.26132,0.2472,0.25081,0.25471,,,,,,,,,0.17166,0.15648,0.16092,0.16716,,,,,,,,,0.11471,0.11504,0.1142,0.11581,,,,,,,,,0.10443,0.11346,0.10424,0.10482,,,,,,,,,0.10593,0.10653,0.10569,0.10569,,,,
5831s,37.2 °C,,,,,,,,,,,,,,,,,0.37591,0.36621,0.37836,0.37292,,,,,,,,,0.27921,0.26561,0.26666,0.2716,,,,,,,,,0.18378,0.16576,0.17213,0.17962,,,,,,,,,0.11729,0.11751,0.11672,0.11837,,,,,,,,,0.1059,0.11484,0.1059,0.10642,,,,,,,,,0.10763,0.10821,0.10729,0.10728,,,,
6155s,37.2 °C,,,,,,,,,,,,,,,,,0.39069,0.38048,0.39209,0.3894,,,,,,,,,0.29769,0.28364,0.28362,0.28803,,,,,,,,,0.19947,0.17737,0.18637,0.19393,,,,,,,,,0.12058,0.12048,0.11988,0.12164,,,,,,,,,0.10784,0.11647,0.10773,0.10819,,,,,,,,,0.10953,0.11022,0.10921,0.10933,,,,
6479s,37.2 °C,,,,,,,,,,,,,,,,,0.40596,0.39649,0.40533,0.4042,,,,,,,,,0.31152,0.304,0.29976,0.30544,,,,,,,,,0.21364,0.19043,0.2026,0.21001,,,,,,,,,0.12443,0.12416,0.12352,0.12561,,,,,,,,,0.10937,0.11828,0.10952,0.10984,,,,,,,,,0.11158,0.11221,0.11126,0.11139,,,,
6802s,37.2 °C,,,,,,,,,,,,,,,,,0.41921,0.4101,0.41932,0.41749,,,,,,,,,0.32862,0.32162,0.31814,0.32492,,,,,,,,,0.22928,0.20517,0.21983,0.22439,,,,,,,,,0.12874,0.1281,0.12747,0.13001,,,,,,,,,0.1114,0.12008,0.11163,0.11168,,,,,,,,,0.11391,0.11436,0.11359,0.11351,,,,
7126s,37.2 °C,,,,,,,,,,,,,,,,,0.43542,0.42514,0.4342,0.43157,,,,,,,,,0.34784,0.33882,0.33547,0.3406,,,,,,,,,0.24614,0.22069,0.23293,0.23871,,,,,,,,,0.1337,0.13307,0.1317,0.13526,,,,,,,,,0.11372,0.1221,0.11387,0.11378,,,,,,,,,0.11687,0.1169,0.11646,0.1165,,,,
7450s,37.2 °C,,,,,,,,,,,,,,,,,0.45173,0.44093,0.45006,0.44739,,,,,,,,,0.36372,0.35267,0.35029,0.35623,,,,,,,,,0.26018,0.23494,0.2461,0.25407,,,,,,,,,0.14,0.13899,0.13716,0.14198,,,,,,,,,0.11656,0.12469,0.11698,0.1164,,,,,,,,,0.12053,0.12038,0.12011,0.11993,,,,
7774s,37.3 °C,,,,,,,,,,,,,,,,,0.46748,0.45621,0.46359,0.46198,,,,,,,,,0.37857,0.36936,0.36603,0.37257,,,,,,,,,0.27712,0.24958,0.26188,0.26644,,,,,,,,,0.14727,0.14614,0.14383,0.14964,,,,,,,,,0.11982,0.12788,0.1205,0.11949,,,,,,,,,0.12453,0.12422,0.12428,0.12387,,,,
8098s,37.2 °C,,,,,,,,,,,,,,,,,0.48252,0.47137,0.47758,0.47587,,,,,,,,,0.39317,0.385,0.38166,0.38822,,,,,,,,,0.29906,0.26653,0.27978,0.28308,,,,,,,,,0.15589,0.15421,0.151,0.15881,,,,,,,,,0.12338,0.13132,0.12434,0.12326,,,,,,,,,0.12902,0.12882,0.12893,0.12811,,,,
8421s,37.2 °C,,,,,,,,,,,,,,,,,0.49624,0.4866,0.49207,0.48932,,,,,,,,,0.40627,0.40019,0.3954,0.4021,,,,,,,,,0.31751,0.28033,0.29627,0.29939,,,,,,,,,0.16628,0.16442,0.15902,0.16953,,,,,,,,,0.12746,0.13478,0.1285,0.12711,,,,,,,,,0.13391,0.13408,0.13433,0.13299,,,,
8745s,37.2 °C,,,,,,,,,,,,,,,,,0.51012,0.50281,0.50541,0.50257,,,,,,,,,0.41788,0.41354,0.40968,0.41436,,,,,,,,,0.33571,0.29822,0.31322,0.3174,,,,,,,,,0.1785,0.17586,0.1686,0.18233,,,,,,,,,0.13244,0.13939,0.13399,0.13249,,,,,,,,,0.14044,0.14077,0.14143,0.13894,,,,
9069s,37.2 °C,,,,,,,,,,,,,,,,,0.52503,0.51512,0.518,0.51523,,,,,,,,,0.4295,0.42433,0.42072,0.42727,,,,,,,,,0.3503,0.30839,0.32346,0.32827,,,,,,,,,0.19147,0.18877,0.17863,0.19652,,,,,,,,,0.1384,0.14536,0.14021,0.13843,,,,,,,,,0.1478,0.14852,0.14953,0.14586,,,,
9393s,37.2 °C,,,,,,,,,,,,,,,,,0.53632,0.52774,0.53026,0.52729,,,,,,,,,0.43671,0.42891,0.43068,0.43556,,,,,,,,,0.36054,0.3172,0.33101,0.33803,,,,,,,,,0.20139,0.20063,0.19034,0.20718,,,,,,,,,0.14489,0.15146,0.14734,0.14478,,,,,,,,,0.15664,0.15884,0.16012,0.15479,,,,
9716s,37.3 °C,,,,,,,,,,,,,,,,,0.5464,0.5401,0.54024,0.53699,,,,,,,,,0.43991,0.43367,0.43652,0.44178,,,,,,,,,0.36618,0.32182,0.33744,0.34562,,,,,,,,,0.20661,0.20529,0.19679,0.21118,,,,,,,,,0.1513,0.15812,0.15364,0.14994,,,,,,,,,0.16661,0.17104,0.17309,0.16439,,,,
10040s,37.2 °C,,,,,,,,,,,,,,,,,0.55773,0.54809,0.55026,0.54546,,,,,,,,,0.44593,0.43923,0.44343,0.44787,,,,,,,,,0.37146,0.32774,0.34406,0.34891,,,,,,,,,0.20928,0.20803,0.20139,0.21403,,,,,,,,,0.15681,0.16359,0.15988,0.1545,,,,,,,,,0.17773,0.18443,0.18667,0.17613,,,,
10364s,37.3 °C,,,,,,,,,,,,,,,,,0.56508,0.55829,0.56366,0.554,,,,,,,,,0.45666,0.44588,0.45123,0.45749,,,,,,,,,0.37989,0.33361,0.35287,0.35379,,,,,,,,,0.21422,0.21327,0.2082,0.21961,,,,,,,,,0.16169,0.1703,0.16506,0.1577,,,,,,,,,0.19126,0.19598,0.19919,0.1879,,,,
10687s,37.2 °C,,,,,,,,,,,,,,,,,0.57311,0.56553,0.57034,0.56072,,,,,,,,,0.46441,0.45331,0.46006,0.4657,,,,,,,,,0.38904,0.34081,0.3593,0.36286,,,,,,,,,0.21888,0.21801,0.21396,0.22506,,,,,,,,,0.16656,0.17632,0.17069,0.16241,,,,,,,,,0.2071,0.20731,0.21268,0.20408,,,,
11011s,37.2 °C,,,,,,,,,,,,,,,,,0.57987,0.57123,0.57503,0.56654,,,,,,,,,0.47071,0.46317,0.46933,0.47239,,,,,,,,,0.39921,0.35272,0.37051,0.3727,,,,,,,,,0.22719,0.22711,0.22307,0.233,,,,,,,,,0.17187,0.18233,0.17721,0.1676,,,,,,,,,0.22222,0.21962,0.2249,0.21914,,,,
